Hardy,Sallebray
"DOM JEAN | Le congé déjà pris, reste que sur la brune | 410 | Je ruse, m'écoulant d'une suite importune : | Dût après le chaos retourner derechef, | Nouveau soldat d'amour il faut suivre mon chef. |","PRECIEUSE. | Venés donc suivés-moy, vous serés enrôlé. | Voicy le Cavalier dont on vous a parlé. |"
"DOM FERDINAND | Le flux perpétuel de vos larmes perdues, | Ces plaintes parmi l'air vainement épandues, | 415 | Depuis tantôt dix ans me lassent désormais, | Vous vous devez résoudre à cette heure ou jamais. | L'affliction d'abord ébranla ma constance, | Et le plus magnanime était sans résistance | Ainsi que nous frustrés de l'espoir d'un enfant, | 420 | - Le cœur au souvenir de tristesse me fend -. | Furieux toutefois se venger sur moi-même, | Révoltés du vouloir de ce destin suprême, | Toujours toujours en deuil, n'avoir aucun repos, | N'avoir autre penser, n'avoir autre propos, | 425 | M'amie, la raison, l'âge, la conscience | Y répugnent: plutôt munis de patience, | Ne trouvons pas mauvais que qui donne les biens, | Les honneurs, les enfants, les ôte comme siens. |","LE CAPITAINE. | 485 | Bon, la façon270 m’en plaist, sa taille, et tous ses gestes, | Sont d’un adroit voleur les preuves manifestes, | J'atens de luy beaucoup en ce qu’il entreprend, | Et sa mine promet quelque chose de grand. | Tu sois271 le bien venu, cher soldat de Mercure,272 | 490 | Aprens de ce nom seul quelle est ton avanture*. | Le Ciel de ses faveurs fut ainsi liberal*, | Donnant à nôtre armée un Dieu pour General273, | {p. 38} | Rien n’échape à nos mains avec ses artifices, | Et nous hazardons* tout sous ses divins auspices, | 495 | Cet avertissement doit déjà t’animer. |"
GUIOMAR | Pourquoi donc ne me vient sa colère assouvie | 430 | Reprendre l'usufruit odieux de la vie ? |,"DOM JEAN, bas. | Le glorieux motif ! |"
DOM FERDINAND | Son secours paraîtra lorsque sans murmurer | Pareille affliction vous saurez endurer. |,
GUIOMAR | Le moins qu'au criminel permette la justice | Est de se pouvoir plaindre endurant son supplice. |,
"DOM FERDINAND | 435 | Pour un temps mon avis au contraire ne va, | Excusables alors que l'esclandre arriva : | Je ne sache lionne, ourse, louve de Trace | Que n'eût atteinte au vif la perte de sa race. | Moi-même demeuré perclus de ma raison, | 440 | Fruits douloureux cueillis en leur propre saison, | De qui le temps depuis efface la mémoire, | Car dessur quels malheurs n'a-t-il point la victoire ? |",
"GUIOMAR | Le père au pris de nous aime légèrement, | Un maternel amour marche tout autrement. | 445 | Mon deuil se rafraîchit en la fuite de l'âge | Et l'espoir de la tombe unique le soulage, | Mille objets à l'envi se présentent qui font | Le coup de ma douleur chaque jour plus profond. | Verrai-je une beauté qui me la remémore ? | 450 | Quelque bouton vermeil qui commence à s'éclore ? | Des larmes, des regrets débondent furieux, | Contrainte de me prendre au ciel injurieux, | Qui ne darda plutôt sa colère enflammée | Sur moi que sur le chef d'une innocente aimée, | 455 | Sur moi qui ne peux plus chez Lucine espérer | Un surjon de neveux paravant qu'expirer. | Encore ne savoir au vrai la destinée | Autre Hécube me rend de fureur forcenée. |",
"DOM FERDINAND | Incroyable prodige elle fondit ainsi | 460 | Que ravie au chaos du Tartare noirci, | Petite bégayant une première enfance, | D'âge ou la chasteté ne redoute d'offense, | Surprise dans l'enclos des lares paternels, | Lares qui font pâlir d'effroi les criminels, | 465 | Où Thémis chaque jour prononce ces oracles | À ce fatal méchef vains et faibles obstacles. | La malice du siècle ores tient à mépris | Les juges et les lois, un forfait entrepris. | Inspiré nonobstant de certain bon augure | 470 | J'espère la revoir avant ma sépulture. |",
"GUIOMAR | Frivole espoir, hélas! que le désir conçoit, | Et qui les malheureux d'ordinaire déçoit. | Or un soupçon depuis ce rapt me continue | Que la chétive fut à l'écart retenue, | 475 | Des larrons effrontés que Bohèmes on dit. |",
"DOM FERDINAND | Rien moins, j'emploierai lors mon pouvoir, mon crédit | À la faire chercher par leur troupe éperdue | Qui s'en allait coupable aussi soudain pendue. | Soit que ce soit, voyez de ne vous attrister, | 480 | Ains ma perte voisine à la sienne ajouter. |",
"GUIOMAR | Dieu m'en garde, l'amitié conjugale plus forte | L'excès de ce mien deuil modérera de sorte, | Que seule à l'engloutir dans l'âme désormais | Un époux débonnaire il ne fâche jamais. |",
"CAPITAINE ÉGYPTIEN | 485 | Approche, gentilhomme, et l'oreille tendue, | Reçois l'instruction de nos lois entendue. | Tu auras Précieuse, excellente beauté, | Sous deux titres divers, une de loyauté, | Tu la peux posséder exempte d'infamie | 490 | En qualité de femme ou de fidèle amie, | N'importe, mais au choix, avise que, léger, | Tu n'auras plus après le pouvoir de changer ; | Chacun selon le sort accepté se contente, | Sur la couche d'autrui d'adultère n'attente, | 495 | Au premier délinquant l'inévitable mort | Juges nous reconnaît en suprême ressort. | Juges, exécuteurs : son corps sans sépulture | Les corbeaux et les loups va fournir de pâture. | Sais-tu quel changement licite nous faisons ? | 500 | Lors que la femme arrive en l'arrière-saison | Permis de se pourvoir sur le commun chez celle | Qui se voudra laisser prendre à notre étincelle, | Qui belle eût désiré un beau greffe assorti, | Tel mutuel amour à son effet sorti, | 505 | Autrement du tout point : reste que ton envie | S'informe sur l'état d'un consorce de vie. | Le monde universel nous accepte bourgeois, | Seigneurs des prés, des monts, des campagnes, des bois, | Qui nobles n'exerçons l'agriculture vile, | 510 | Non captifs pour le gain dans l'enclos d'une ville. | Notre vocation Mercure l'enseigna, | Qui les bœufs d'Apollon dérobant n'épargna. | Telle coutume on tient autrefois usitée | Chez le peuple guerrier de Sparte l'indomptée, | 515 | Quiconque se laissait surprendre châtié, | Ainsi le sommes-nous sans espoir de pitié, | L'adextre vigilance au métier nécessaire, | Joint que pour quelque vent de fortune contraire, | Les galères, le fouet, ne faut s'épouvanter. | 520 | On ouï le bon soldat ses blessures vanter, | Exemple glorieux qu'imité notre troupe, | Où l'épaule parfois de quelqu'un se découpe, | Où l'ordre du carcan le montre en plein marché, | Moqué, hué, sifflé, tout un jour attaché. | 525 | Tu ne dois, compagnon, trouver le cas étrange, | Si tu veux acquérir et profit et louange. | Délibère averti, le temps te le permet, | Sur les difficultés qu'aux yeux on te remet. |","LE CAPITAINE. | Pour te faire estimer | Dans la profession que tu veux entreprendre, | Observe bien nos lois, que je te vais apprendre. | Eloigne en premier lieu ce fantôme d’honneur, | 500 | Si tu veux réussir avec quelque bon-heur*, | C'est un fâcheux demon274 jaloux275 de nôtre adresse, | Qui rafine276 sur tout, et de tout s’interesse, | Dont les tristes conseils, et les severes lois, | Chargent de fers dorés les sujets et les Rois, | 505 | Et nous portant au bien le moins digne d’envie277, | Retranchent les trois parts278 des plaisirs de la vie, | Loin donc cet ennemi de nos contentemens, | Loin la honte du blâme, et la peur des tourmens, | Apres ces bons avis tu peux prendre les armes. |"
"DOM JEAN | Gaies difficultés, qui me semblent faciles, | 530 | Douces difficultés en délices fertiles, | Que j'embrassais plutôt de pure affection, | Possesseur du parfait de la perfection, | Qui ferait renoncer aux Dieux leur ambroisie, | Même condition de fortune choisie. |",DOM JEAN. | 510 | L'honorable milice ! ô Dieux qu’elle a de charmes ! |
,"LE CAPITAINE. | Nous cherchons les combas dont la bourse est le prix, | {p. 39} | Où la gloire* consiste à n’étre point surpris, | Où la subtilité l’emporte sur la force. | Là, l’espoir du butin nous est bien quelque amorce*, | 515 | Le gain donne un plaisir, mais il s’en faut beaucoup | Qu'il égale celuy d’avoir fait un beau coup, | Eprouve cette joye, et quoy que tu hazardes*, | Songe qu’il faut duper qui se tient sur ses gardes, | Endormir de discours ceux que nous réveillons, | 520 | Et parétre en repos lors que nous travaillons, | Comme il faut plus d’esprit, nôtre ame est plus ravie | Quand un heureux* effet succede à son envie. | Etre prompt, avisé, hardi, subtil, adroit, | Tirer sans qu’on le sente une bague du doit, | 525 | Dénouër un colier, fouïller dans une poche, | Prendre quoy que ce soit à qui que l’on approche, | Afiner279 le plus fin*, et le moins empéché280, | Escamoter par tout, dans le Temple, au marché, | Relever ce qui tombe, et serrer ce qui traine, | 530 | Tout nous duit281, tout nous plaist, tout est bon, quoy qu’on prene, | Des gans, une chemise, un mouchoir, un chapeau, | {p. 40} | Une poule, un coc-d’Inde, un mouton, une peau, | Tandis qu’un frere chasse, entretenir le maitre, | Luy déguiser son bien jusqu’à le méconetre, | 535 | Faire la guerre à l’oeil, que rien ne soit perdu282, | Bref, ne livrer jamais ce que l’on a vendu, | C'est à quoy nôtre esprit applique son étude*, | Secondé* de nos mains et de leur prontitude. |"
,DOM JEAN. | Le royal passe-temps ! quel divertissement* ! | 540 | Et que jusques icy le métier est charmant ! |
,"LE CAPITAINE. | Ne te rebute pas de nos plaisans mysteres283 | Pour l’ordre du carcan284, le fouët ou les galeres, | Pour285 quelque trait de corde286, ou ces petits afrons | Dont on punit icy les plus fameux larrons : | 545 | Que pas un de ces maux n’ébranle ta constance*, | Et si ton mauvais sort te fait surprendre en France, | Comme un present du Roy, reçoy la fleur de Lys287, | Par ces marques d’honneur nous somes ennoblis, | Un bon soldat s’anime en voyant ses blessures, | 550 | Et sans rien avouër nous souffrons les tortures, | Au pouvoir du Prevost un de nous est-il mis, | Il subit châtiment, non pour ce qu’il a pris, | [F, 41] | Mais pour étre si sot de s’étre laissé prendre. | Qui ne sçait son métier doit tâcher de l’apprendre, | 555 | Cela le subtilise* en autre occasion, | Et le rend bien plus prompt à l’execution. |"
,"DOM JEAN, bas. | Qu'on prepare mon ame à d’agreables choses. |"
,"LE CAPITAINE. | Passons de quelque épine en des plaines de roses. | Nous possedons sans peur mille tresors divers, | 560 | Et nous somes Seigneurs de ce grand Univers, | Nous chassons dans les bois et dessus les montagnes, | Nous jouissons des biens des plus riches campagnes, | La terre à nos desirs offre tout avec chois, | Les forests au besoin* nous presentent du bois, | 565 | Les fontaines de l’eau, les côteaux de l’ombrage, | Les rochers un abri quand il fait quelque orage, | Les vignes des raisins, les étangs des poissons, | Les arbres et les champs des fruis et des moissons, | Enfin avecque nous, pour peu que tu t’exposes, | 570 | Sans qu’il te couste rien espere toutes choses. |"
,DOM JEAN. | Qui ne seroit ravi de ces commodités ? | {p. 42} |
,"LE CAPITAINE. | Jamais nous ne logeons dans l’enclos des Cités, | Les dehors sont plus beaux, plus surs, et plus utiles, | C'est là que nous plantons nos pavillons mobiles, | 575 | Et nous en delogeons au moins quand il nous plaist, | Là, nôtre emmeublement288 se trouve tousjours prest, | Les gazons sont nos lits, et la belle prairie | A nos palais volans sert de tapisserie, | Nous y voyons aussi quantité de tableaux, | 580 | Jamais dedans la Flandre il n’en fut de si beaux, | L'art ne sçauroit atteindre à ces vivans ouvrages, | Et Nature elle-méme a fait ces païsages. | Ce cuir289 impenetrable aux rigueurs des saisons | Nous fait braver le Ciel dans ces febles maisons, | 585 | Les tonerres grondans sont pour nous des musiques, | Les vens impetueux des zephirs* pacifiques, | Les éclairs des flambeaux, la pluye un bain charmant, | Et les neges enfin un rafraichissement : | {p. 43} | Ainsi toujours contens nous passons nôtre vie | 590 | Exemps d’ambition, de soucis, et d’envie, | Ce beau dereglement ne te charme-t’il pas ? |"
,"DOM JEAN. | Ouy certes, et le trône a beaucoup moins d’apas. |"
,"LE CAPITAINE. | Au reste, tu peux prendre en l’ardeur* qui t’enflame | Cette jeune beauté pour maitresse ou pour femme. |"
"PRÉCIEUSE | 535 | Tu contes, cavalier sans ton hôte voulant | Les paches proposes n'accomplir violent, | Un capitaine peut absolu sur ma vie, | Non sur ma chasteté à moi seule asservie, | Inexpugnable fort que tu battrais en vain, | 540 | Des faveurs assisté de tout le genre humain, | Si ta foi ne l'éprouve une couple d'années, | Tes flammes du respect vertueux refrénées, | Que pourrait exiger quelque reine de toi. | C'est la clause sans plus que je te ramentoi | 545 | Accordée entre nous d'une amitié future, | Au refus de passer outre ne t'aventure, | Ton équipage entier absent à peine un jour, | Tu n'as qui chez les tiens empêche le retour. |","PRECIEUSE. | 595 | Arrétés-la de grace, et ne poursuivés point, | Il est tombé d’acord avec moy sur ce point. | Que s’il veut renoncer aux lois que j’ay prescrites, | Je prefere l’honneur à ces rares merites, | Nul de vous n’a pouvoir dessus ma volonté, | 600 | N'en disposés donc pas avec autorité, | Ce droit nous appartient avec plus de justice, | Je l’ay fait esperer à deux ans de service, | Mais quoy que le serment semble nous obliger, | Il nous est libre encor de nous en dégager, | 605 | Consultés-vous, Monsieur, touchant cette promesse, | Recueillés vôtre cœur du someil qui le presse, | {p. 44} | Arrachés le bandeau qui vous couvre les yeux, | Soyés plus raisonable, enfin choisissés mieux, | Vôtre équipage est là, vous pouvés le reprendre. |"
,"LA VIEILLE. | 610 | Je ne pourois jamais me resoudre à le rendre, | Accordés-vous plustost. |"
"DOM JEAN | Ombrageuse, ne crains que ma foi se démente, | 550 | Que ma flamme amoureuse, encor que véhémente, | À la force jamais osât s'émanciper, | Sur le terme prescrit osât anticiper, | Trop heureux de jouir du discours, de la vue, | Tout au plus d'un baiser surpris à l'impourvue, | 555 | Après ma pénitence accomplie espérant | La moisson des travaux semés en endurant, | Pleine moisson cueillie ès champs de l'hyménée, | Qui par-dessus l'espoir te rendra fortunée. | Ores, chers compagnons, ai-je à vous supplier | 560 | D'un mois d'apprentissage à faire le métier, | À devenir pratic en manière de prendre, | D'emprunter des voisins, et de ne jamais rendre, | Mon défaut supplée de ces deux cens ducats | Que vous départirez, jaçoit que peu de cas. |","DOM JEAN. | Je te suis donc suspect ? | Quoy dans beaucoup d’amour crains-tu peu de respect* ? | Non, non, engage encor mes flames amoureuses | A des conditions qui soient plus rigoureuses, | 615 | Mon cœur est une cire où tu ne peux imprimer | Ces chastes sentimens qui te font estimer, | Mais sçache que pour toy ce mesme cœur de cire | Changera de nature apres ce doux martire, | Et que pour mieux garder ton vouloir souverain | 620 | Il deviendra plus dur que le fer ou l’airain. | Ouy, ta seule presence entretiendra ma joye, | Je seray trop content pourveu que je te voye, | Et si l’Amour m’excite à quelque autre plaisir, | Un baiser tout au plus bornera mon desir, | 625 | Puis-je pas esperer ce remede à ma flame ?290 |"
,"PRECIEUSE. | Ouy, si sage d’ailleurs... | {p. 45} |"
,"DOM JEAN. | N'en doute plus mon ame.291 | Et vous mon Capitaine, il me faut octroyer | Un mois d’aprentissage a ce noble métier. |"
,"LE CAPITAINE. | C'est trop de la moitié292 pour étre passé maitre, | 630 | Apres deux ou trois vols assure-toy de l’etre. |"
,"DOM JEAN. | Souffrés* que dans ce temps je n’en fasse pas un, | Ces quatre cens ducas* départis au comun293 | Supleront au defaut de cette main oisive, | Prenés-les pour ma part du bien dont je vous prive, 635 | 635 | Apres qu’on laisse faire à mes secrets effors, | Mon adresse d’abord s’ataque aux coffres fors. |"
"CAPITAINE ÉGYPTIEN | 565 | Ta libéralité nous oblige unanimes, | Véritables amis qui savons, magnanimes, | Un bienfait reconnu à l'extrême besoin, | Mourir pour son auteur chacun l'épée au poin. | Or selon la coutume, apprend qu'un nom de guerre | 570 | Nous déguise inconnus quelque part que l'on erre : | Andres sera le tien, séant à ta vertu, | Approuvé du commun le refuseras-tu ? |","LE CAPITAINE. | Ta generosité n’eut jamais son égale, | Ouy, ces riches effets de ta main liberale*, | Font resoudre la troupe à quoy que tu voudras, | 640 | Dispose de nos cœurs ainsi que de nos bras. | Il reste maintenant à prendre un nom de guerre | {p. 46} | Qui te fasse inconu courir toute la terre, | Herite de celuy du plus fameux voleur | Qui jamais parmi nous signala sa valeur, | 645 | Il se nomoit Andrés, plaist-il à ton envie ? |"
"DOM JEAN | Nullement, nullement, je l'accepte honorable, | Je l'accepte, à mon heur auspice favorable, | 575 | Andres, nom glorieux, que m'impose l'amour, | Ne m'abandonnera qu'après le dernier jour. |","DOM JEAN. | Je le conserveray tout le temps de ma vie, | Andrés, ha ! que ce nom me semble glorieux*, | Puisqu’il m’est imposé pour servir ces beaux yeux ! |"
,"LE CAPITAINE. | Donc que chacun de nous montre son allegresse, | 650 | D'un si cher camarade exaltons la noblesse, | Meslons un doux concert à nos remercimens, | Et faisons mille vœux pour ses contentemens. |"
"TROUPE D'ÉGYPTIENS | Vive le noble Andres, vive sa Précieuse, | Que quiconque leur garde une haine envieuse | Périsse misérable, et que toujours heureux | 580 | Vive en bonne union ce beau pair amoureux. |","LES EGIPTIENSchantent en musique ces quatre Vers. | Vive le noble Andrés, vive la Precieuse | D'une vie à leur gré la plus delicieuse,294 | 655 | Qu'Hymen* joigne bien-tost ce beau couple d’Amans, | Et que rien ne s’oppose à leurs embrassemens*. |"
"CAPITAINE ÉGYPTIEN | Voilà qui vaut l'argent ; au surplus ta maîtresse | Du fard Égyptien te donnera l'adresse, | Te changera d'habits, crainte que découvers, | L'affaire à nos dépens ne marche de travers. | 585 | Sus, compagnons, venez me conduire à ma tente, | Qu'économe loyal chacun là se contente. |","LE CAPITAINE. | Voyla qui vaut l’argent, cet objet* qui t’engage | Du fard295 Egiptien t’enseignera l’usage, | {p. 47} | Surtout change d’habit pour nôtre seureté, | 660 | Et pour aller par tout avecque liberté, | Nous en avons tousjours quelques-un dans nos tantes | Pour ceux qui sont receus au métier que tu tentes : | Tandis, pour eviter tout accident* fatal,296 | Je vay rendre l’honneur qu’on doit au Senechal, | 665 | Nôtre bande a besoin du pouvoir qu’il possede, | Déjà depuis deux jours nous rodons dans Tolede | Sans la permission qu’il nous faut obtenir, | Adieu, demeurés seuls pour vous entretenir. |"
,"LA VIEILLE. | Enfin tout est à nous, homme, argent et bagage, | 670 | Mais allons de plus prez visiter l’équipage. |"
,"LE CAPITAINE. | Puissant Dieu des matois297, et des subtilités, | Mercure inspire luy tes bonnes qualités, | Afin qu’aux yeux de tous il vole en assurance, | Et trompe des Argus298 l’exacte vigilance. | 675 | Suivés-moy Compagnons, tous en ordre rangés, | Ces ducas* au retour vous seront partagés. |"
"ANDRES | Tu vois à la merci de ta beauté réduit | Un esclave dévot qui sa fortune soit, | Tu tiens l'âme et le corps, rien de moi ne me reste, | 590 | Volontaire forçat d'un comite céleste | Qui présume de lui le traitement humain. | Me le jures-tu pas par cette blanche main, | Par ces soleils bessons, astres de ma lumière ? | Par l'empire conquis sur la dive écumière ? | 595 | Tu flottes incertaine, et semble que tes yeux | Offusquent leur clarté de nuaus soucieux. |","ANDRES. | Enfin j’ay le bon-heur où mon amour aspire, | Mon sort est dans tes mains, je vis sous ton empire, | Me voyla ton sujet, et j’ay receu tes lois, | 680 | C'est trop pour égaler la fortune des Rois. | Ce n’est point le pouvoir que ce titre leur donne | Qui m’atache avec joye auprez de ta personne, | Ce n’est point un espoir de leurs vaines grandeurs | Qui contente mes sens et nourrit mes ardeurs*, | 685 | Ce n’est point ce hazard* contre qui l’on declame, | Qui fait voir dans tes fers et mon corps et mon ame, | C'est ce charme adorable, invisible et puissant | Que forment tes atrais, et ton cœur inocent, | C'est cet esprit divin dont ce beau corps s’anime, | 690 | Qui s’est acquis par tout une si haute estime, | C'est ce je ne sçay quoy qui brille dans tes yeux | Capable d’enchanter et les Rois et les Dieux. | Ainsi puisque l’Amour et ta seule puissance | Me rangent aujourd’huy sous ton obéissance, | [G, 49] | 695 | Espere que ces noms et d’esclave et d’amant | Ne me feront traiter que favorablement, | Me le jure tu pas par la celeste flame | Que ces deux Astres bruns299 lancent jusqu’en mon ame ? | Par la reflexion de ce feu glorieux | 700 | Que l’une et l’autre joue emprunte de tes yeux, | Par ce vivant coral300 qui fait tant de miracles, | Et qui rend tous les jours mille divins oracles. | Me le jure tu pas par ce berceau d’Amour, | Où, comme dans tes yeux, ce Dieu fait son sejour ? | 705 | Par ces monts animés dont le beau privilege | Peut enflamer les cœurs à l’aspect de leur nege, | Et par ce noble tout, ouvrage precieux | Que formerent l’Amour, la Nature et les Dieux :301 | Mais à te voir si triste en mon bon-heur insigne*, | 710 | Il semble que déjà tu m’en juges indigne. |"
"PRÉCIEUSE | L'amour ne marche point sans crainte soucieuse, | Crainte qui voirement afflige Précieuse, | Sur l'incommodité qu'elle prévoit souffrir | 600 | À qui vient compagnon de misère s'offrir. |","PRECIEUSE. | Me doy-je réjouir de vous avoir réduit | A quiter un beau jour pour une afreuse nuit, | A quiter des rayons pour un nuage sombre, | La gloire* pour la honte, et le Soleil pour l’ombre, | 715 | Les plaisirs pour la peine, et les biens pour les maux, | Un repos assuré pour de rudes travaux*, | {p. 50} | Une Princesse enfin pour une Egiptienne ? | Non, Seigneur, croyés-moy, quelque honneur qui m’en vienne, | Je vous estime trop pour ne m’afliger pas | 720 | Du tort que je vous fais par mes febles apas*. |"
,"ANDRES. | Que ton affliction console bien mon ame ! | Que ton regret me plaist ! que ta frédeur302 m’enflame ! | Il est donc vray, mon cœur, que ta sainte amitié* | Fait déjà le devoir d’une chaste moitié : | 725 | Mais ne plains point mon sort digne qu’un Dieu l’envie, | Et juge mieux de l’heur* qui va suivre ma vie, | Treuvay-je pas en toy sans forcer mes desirs | Ma gloire*, mon repos, mes biens et mes plaisirs ? | Tes yeux ne sont-ils pas des Soleils ? et ces Astres | 730 | N'écarteront-ils par loin de moy les desastres ? | N'ont-ils pas pour rayons mille feux petillans ? | Et pour étre un peu noirs en sont-ils moins brillans ? | Non, non, d’une façon qui n’est point coûtumiere | Cette noirceur éclate et me rend la lumiere, | 735 | Contre l’ordre du monde elle fait un beau jour, | Et r'alume303 par tout le flambeau de l’Amour,304 | {p. 51} | Mais pardonneras-tu ma première licence305 ? |"
,"PRECIEUSE. | Ouy, puisque vous avés une entière puissance. |"
"ANDRES | Telle appréhension preuve que ta belle âme | Ressent quelque bluette éprise de ma flamme, | Impassible me donne un courage plus fort | Qu'il ne faut à dompter ce qu'enverra le sort. | 605 | Tu es mon heur, tu es débile, plus à plaindre, | Tu me causes à moi plus de cause de craindre | Que ce corps délicat n'expire sous le faix | De la profession pénible que tu fais, | Exposée aux chaleurs, aux extrêmes froidures. | 610 | Et aux dérisions d'un vulgaire trop dures. | Toutefois patients, l'heure pourra venir. | Quel papier aperçois-je à ce beau sein tenir ? | Montre de grâce un peu. |",ANDRES. | (Il a aperceu dans son sein le papier du Poëte.) | D'où te vient ce papier ? que son destin est doux ! |
"PRÉCIEUSE | Nous en rirons, je meure, | La hâte que l'on eut de changer de demeure | 615 | Depuis me le gardait plié dedans le sein. |","PRECIEUSE. | 740 | Si c’est une douceur que de faire un jaloux, | Ce poulet306 en ce lieu vous donne de l’ombrage, | Avoüés. |"
"ANDRES | Qui te le présenta, ma vie, à quel dessein ? |",ANDRES. | Nullement. |
"PRÉCIEUSE | Inconnu quant au nom, un poète de Séville, | Premier à son rapport en la douceur du style, | Déjà deux ou trois fois même présent m'a fait. |",PRECIEUSE. | L'Auteur vaut bien l’ouvrage. |
ANDRES | 620 | Dis que de ta beauté c'est bien le moindre effet. |,ANDRES. | Je le croy. |
"PRÉCIEUSE | Miracle ! ce ducat mérite qu'on l'enchâsse, | Métal incompatible au métier de Parnasse. |",PRECIEUSE. | Tout de bon ? |
"ANDRES | Tu as raison vraiment, que je lise ces vers | Sur un sujet conçus qu'adore l'univers. |",ANDRES. | Ouy certes. |
"PRÉCIEUSE | 625 | Tandis nous serrerons l'argent, et la louange, | En cas d'extrémité indifférents au change. |","PRECIEUSE. | Cependant, | {p. 52} | Je veux de son rival faire mon confident, | 745 | Tenés307, apres cela doutés que je vous aime, | Car je ne l’ay point leu. |"
"ANDRES | Certes un tel esprit, ses ardeurs exprimant, | Les dames à l'amour oblige infiniment, | Capable d'animer les roches et les glaces, | 630 | Belle fille, il aurait part en mes bonnes grâces. |",ANDRES. | La faveur est extreme. |
"PRÉCIEUSE | Laide, mais qu'on n'attrape à si légers appas : | Ne crains capricieux qu'il marche sur tes pas, | Séparés de trop loin sa mémoire me passe, | Comme la nue en l'air qui ne laisse de trace. | 635 | Mais allons te choisir l'équipage décent | Auquel tu ne t'iras toi-même connaissant. |","PRECIEUSE. | J'en espere pourtant un aimable entretien, | (A part.) | Il est un peu remis. |"
"ANDRES | Allons, ma gardienne, allons, douce geôlière, | Me choisir un cachot proche de ta lumière, | Viens ton captif Alcide, Omphale, déguiser, | 640 | Selon qu'il te plaira désormais aviser. |","ANDRES, à part, ayant leu. | Mon cœur ne crains plus rien. |"
"CLÉMENT | Au secours, mes amis, empêchez que la rage | De ces mâtins félons plus avant ne m'outrage, | Demi-mort déchiré sur les membres partout. | Hé ! qui tient ici tant de cabanes debout ? | 645 | Quelques Pâtres possible abattus sous Morphée. | Ô Cieux, une fureur d'ire plut échauffée | Les acharne sur moi : à l'aide, secourez, | Et du proche trépas ce chétif recourez. |","PRECIEUSE. | Lisés haut, vous riés. |"
"I. ÉGYPTIEN | Quelqu'un qui de nos chiens ignorait l'embuscade | 650 | S'écrie à haute voix, je me le persuade, | Voyons ce passe-temps. |","ANDRES. | Il faut bien que je rie | 750 | De l’agreable effet de cette tromperie, | Ce sont des Vers. |"
II. ÉGYPTIEN | Aperçus le voici | Plus vite que le pas s'acheminant ici. |,"PRECIEUSE. | Hé bien, c’est le parler des Dieux, | Le stile en est plus doux, et persuade mieux.308 | {p. 53} |"
"CLÉMENT | Quels fantômes affreux, quelles larvales ombres | Sortent à l'impourvu de leurs repaires sombres ? | 655 | Avance, le moyen de fuir ou reculer ? | Il faut bon gré mal gré sa peur dissimuler. |","ANDRES. | (Il lit tout haut ces Vers.) | Je chante dans les fers mieux qu’un Egiptien, | Vous me réjouissés en me donnant la géne*: | 755 | Mais pourquoy joignés-vous le repos à ma chaine ? | Suis-je si malheureux de n’étre propre à rien ? | L'esclave trop oisif souffre un double tourment, | Servés-vous du pouvoir que mon destin vous donne | D'un employ prez de vous honorés ma personne, | 760 | Et ne rejetés pas les vœux d’un pauvre amant. |"
I. ÉGYPTIEN | L'épouvante le tient jusqu'au profond de l'âme. |,"PRECIEUSE. | Hé bien qu’en dites-vous ? ce n’est pas un novice, | Voyés qu’adrétement309 il m’offre son service. |"
"CLÉMENT | Hélas ! mes bons amis, votre aide je réclame. |","ANDRES. | Voylà pour un captif parler bien librement, | Mais il ne devoit pas finir si pauvrement310, | 765 | L'Amour est de ce mal la mortelle ennemie, | Et pour311 un pauvre Amant je serois endormie. |"
II. ÉGYPTIEN | Sur quoi ? |,PRECIEUSE. | Ainsi que de ses Vers vous rirés de l’objet. |
"CLÉMENT | Passant surpris naguères de la nuit, | 660 | À chercher le couvert hors du chemin réduit, | Une faible clarté en ces lieux découverte | M'attire misérable à ma ruine aperte. | Plus qu'onc lièvre ne fut de vos chiens gourmandé, | Pitoyable sujet du secours demandé, | 665 | N'ayant dessus le corps partie aucune entière, | Qui sans doute viens faire ici mon cimetière. |",ANDRES. | Mais qui t’en feroit voir sur un autre sujet ? | {p. 54} |
I. ÉGYPTIEN | As-tu la croix ? tu as trouvé tes médecins | Qui te rendront bientôt gaillard et des plus sains. |,PRECIEUSE. | De qui ? |
CLÉMENT | Cela ne manquera pourvu qu'on me soulage. |,"ANDRES. | (Bas.) | Dissimulons. D'un jeune Gentilhomme | 770 | Mon plus intime amy, qui t’aime. |"
"II. ÉGYPTIEN | 670 | Une vieille entre nous experte selon l'âge | Sait au son de l'argent ressusciter les morts, | Elle passe Médée en matière de sorts. | Nous deux t'allons porter en sa loge voisine, | Mais pense que la croix toujours devant chemine. |",PRECIEUSE. | Et qui se nomme ? |
"CLÉMENT | 675 | Tenez, ah ! la douleur me tue. |",ANDRES. | Son nom ne se dit pas. |
"I. ÉGYPTIEN | Ce n'est rien, | Et me crois que guéri tu te porteras bien. |",PRECIEUSE. | (Bas.) | C'est luy-mesme. Et pourquoy ? |
"ANDRES | Leurs abois continus, que la colère aiguise, | Quasi comme acharnés sur quelque bête prise, | Outre les cris humains à travers éclatants | 680 | M'alarment éveillé depuis un fort longtemps : | Résolu d'aller voir seul, n'était que j'ignore | Ce qu'en occasion pareille on fait encore. |","ANDRES. | Pour cause, les voicy, c’est un recit pour toy, | Au balet que... |"
